Title,Genre(s),Developer(s),Publisher(s)
The Banner Saga 2,Tactical role-playing,Stoic Studio,Versus Evil
The Banner Saga 3,Tactical role-playing,Stoic Studio,Versus Evil
The Bard's Tale: Remastered and Resnarkled,Role-playingdungeon crawler,InXile Entertainment,InXile Entertainment
The Bard's Tale IV: Director's Cut,Dungeon crawler,inXile Entertainment,Deep Silver
A Bastard's Tale,Action,No Pest Productions,No Pest Productions
Bastion,Role-playing,Supergiant Games,WB Games
Basement Crawl,"Action, strategy",Bloober Team,Bloober Team
Batman: Arkham Knight,Action-adventure,Rocksteady Studios,WB Games
Batman: Return to Arkham,Action-adventure,Rocksteady Studios,WB Games
Batman: The Enemy Within,Graphic adventure,Telltale Games,Telltale Games
Batman: The Telltale Series,Graphic adventure,Telltale Games,Telltale Games
Battalion 1944,First-person shooter,Bulkhead Interactive,Square Enix
Battle Chasers: Nightwar,Role-playing,Airship Syndicate,Nordic Games
Battlefield 1,First-person shooter,EA DICE,Electronic Arts
Battlefield 4,First-person shooter,EA DICE,Electronic Arts
Battlefield V,First-person shooter,EA DICE,Electronic Arts
Battlefield Hardline,First-person shooter,Visceral Games,Electronic Arts
Battle Garegga Rev.2016,Shoot 'em up,M2,M2
Battle of the Bulge,Strategy,Slitherine Software,Slitherine Software
Battle Princess Madelyn,Platform,Causal Bit Games,Causal Bit Games
Battleship,Strategy,Frima Studio,Ubisoft
Battle Spirits: Collected Battlers,Card battle,FuRyu,FuRyu
Battlestar Galactica: Deadlock,Strategy,Black Lab Games,Slitherine Software
Battle Worlds: Kronos,Turn-based strategy,King Art Games,Nordic Games
Battlezone,Vehicular combat,Rebellion Developments,Rebellion Developments
Batu Ta Batu,Puzzle,"EZSD, 2Awesome Partners",2Awesome Partners
Bayonetta,"Action, hack and slash",PlatinumGames,Sega
Bears Can't Drift!?,Racing,Strangely Named,Strangely Named
Bear With Me: The Lost Robots,Adventure,Exordium Games,Modus Games
Beast Quest,Role-playing,Torus Games,Maximum Games
Beautiful Desolation,Adventure,The Brotherhood,Untold Tales
Bedlam,First-person shooter,RedBedlam,Standfast Interactive
Bee Simulator,Simulation,Varsav Game Studios,Bigben Interactive
Behind the Frame: The Finest Scenery,Adventure,Silver Lining Studio,Akupara GamesAkatsuki Taiwan
Beholder: Complete Edition,Strategymanagement,Warm Lamp GamesAlawar,Curve Digital
Beholder 2,Strategymanagement,Warm Lamp GamesAlawar,Curve Digital
Below,Action-adventure,Capybara Games,Capybara Games
Ben 10,Action-adventure,Outright Games,Bandai Namco Entertainment
Ben 10: Power Trip,Action-adventure,Outright Games,Bandai Namco Entertainment
Bendy and the Ink Machine,Survival horror,Joey Drew Studios,Rooster Teeth Games
Berserk and the Band of the Hawk,Action role-playinghack and slash,Omega Force,Koei Tecmo
Betty Bat's Treasure Hunt,Action,Bionic Pony,Bionic Pony
Beyond a Steel Sky,Point-and-click adventure,Revolution Software,Microids
Beyond Blue,Educationaladventure,E-Line Media,E-Line Media
Beyond Contact,Survival,Playcorp Studios,Deep Silver
Beyond Eyes,Adventure,Tiger and Squid,Team17
Beyond: Two Souls,Interactive drama,Quantic Dream,Sony Computer Entertainment
Big Bash Boom,Sports,Big Ant Studios,Big Ant Studios
Big Pharma,Management simulation,Twice Circled,Klabater
Big Rumble Boxing: Creed Champions,Sports,Survios,Survios
Binaries,Platformpuzzle,Ant Workshop,Ground Shatter
The Binding of Isaac: Rebirth,Action-adventureroguelike,Nicalis,Nicalis
The Binding of Isaac: Repentance,Action-adventureroguelike,Nicalis,Nicalis
Biomutant,Action role-playing,Experiment 101,THQ Nordic
BioShock: The Collection,First-person shooter,Blind Squirrel Games,2K Games
Biped,Puzzle-platform,Next Studios,Meta Publishing
Birthday of Midnight,Puzzle-platform,Petite Games,Ratalaika Games
Birthdays the Beginning,Strategy,Toybox Games,NIS America
Bit.Trip,Action,Choice Provisions,Choice Provisions
Black & White Bushido,Brawlerstealth,Endemol,Endemol
Black Book,Adventurerole-playing,Morteshka,HypeTrain Digital
Black Desert,Massively multiplayer online role-playing,Pearl Abyss,Pearl Abyss
Blackguards 2,Turn-based tactics,Daedalic,Kalypso Media
Blackhole: Complete Edition,Platformpuzzle,FiolaSoft Studio,FiolaSoft Studio
The Blackout Club,Horror,Question,Question
Black Legend,Role-playingturn-based strategy,Warcave,Warcave
Black Paradox,Shoot 'em up,Fantastico Studio,Digerati
Blacksad: Under the Skin,Adventure,Pendulo StudiosYs Interactive,Microïds
Blacksea Odyssey,Shoot 'em up,Spiral Summit Games,Digerati Distribution
Black the Fall,Puzzle-platform,Sand Sailor Studio,Square Enix
Blackwood Crossing,Adventure,PaperSeven,PaperSeven
Blade Arcus from Shining EX,Fighting,Sega,Sega
Blade Assault,Action-platformroguelike,TeamSuneat,Neowiz
Blade Ballet,Actionbattle,DreamSail Games,DreamSail Games
Bladed Fury,Actionside-scrolling,NExT Studios,PM Studios
Blade Runner: Enhanced Edition,Point-and-click adventure,Alcon Entertainment,Nightdive Studios
Blade Strangers,Fighting,Studio Saizensen,Nicalis
Bladestorm: Nightmare,Real-time tactics,Koei Tecmo,Koei Tecmo
Blair Witch,Survival horror,Bloober Team,Lionsgate Games
Blasphemous,Platform,The Game Kitchen,Team17
Blast 'Em Bunnies,Shooter,Nnooo,Nnooo
Blaster Master Zero,Actionmetroidvania,Inti Creates,Inti Creates
Blaster Master Zero 2,Actionmetroidvania,Inti Creates,Inti Creates
Blaster Master Zero 3,Actionmetroidvania,Inti Creates,Inti Creates
Blaster Master Zero Trilogy: MetaFight Chronicle,Actionmetroidvania,Inti Creates,Inti Creates
Blast Zone! Tournament,Actionmaze,Victory Lap Games,Victory Lap Games
BlazBlue: Central Fiction,Fighting,Arc System Works,Aksys Games
BlazBlue: Chrono Phantasma Extend,Fighting,Arc System Works,Aksys Games
BlazBlue: Cross Tag Battle,Fighting,Arc System Works,Arc System Works
Blazerush,Vehicular combat,Targem Games,Targem Games
Blazing Beaks,Twin-stick shooter,Applava,QubicGames
Blazing Chrome,Run and gunshooter,JoyMasher,The Arcade Crew
Blazing Strike,Fighting,RareBreed Makes Games,Aksys Games
Bleed,Platform,Bootdisk Revolution,Digerati
Bleed 2,Platform,Bootdisk Revolution,Digerati
Blind Fate: Edo no Yami,Actionplatform,Troglobytes Games,101XP
Block-a-Pix Deluxe,Nonogrampuzzle,Lightwood Games,Lightwood Games
Bloodborne,Action role-playing,FromSoftware,Sony Computer Entertainment
Blood Bowl 2,Sportsturn-based strategy,Cyanide,Focus Home Interactive
Blood Bowl 3,Sportsturn-based strategy,Cyanide,Nacon
Bloodroots,Action,Paper Cult,Paper Cult
Bloodstained: Curse of the Moon,Actionplatform,Inti Creates,Inti Creates
Bloodstained: Curse of the Moon 2,Actionplatform,ArtPlayInti Creates,505 Games
Bloodstained: Ritual of the Night,Metroidvania,Inti Creates,505 Games
Bloody Zombies,Brawler,Paw Print Games,nDreams
Bloons TD 5,"Strategy, puzzle",Ninja Kiwi,Ninja Kiwi
Blue Estate,First-person shooter,Hesaw,Focus Home Interactive
Blue Fire,Actionplatform,Robi Studios,Graffiti Games
Blue Reflection,Role-playing,Gust Co. Ltd.,Koei Tecmo
Blue Reflection: Second Light,Role-playing,Gust Co. Ltd.,Koei Tecmo
Blue Rider,Shooter,Ravegan,Ravegan
Blues and Bullets,Action-adventure,A Crowd of Monsters,A Crowd of Monsters
Boiling Bolt,Shoot 'em up,Persistant Studios,Playdius Entertainment
Bokosuka Wars II,Strategy,Pygmy Studio,Pygmy Studio
Bokuhime Project,Adventure,Wizard Soft,Nippon Ichi Software
Bomber Crew,Real-time strategy,Runner Duck,Curve Digital
Book of Demons,Hack and slash,Thing Trunk,505 Games
The Book of Unwritten Tales 2,Adventure,King Art Games,505 Games
Borderlands 3,"Action role-playing, first-person shooter",Gearbox Software,2K Games
Borderlands: Game of the Year Edition,"Action role-playing, first-person shooter",Gearbox Software,2K Games
